Customer_ID,Age,Gender,Annual_Income,Employment_Status,Credit_Score,Marital_Status,Account_Balance,Loan_Amount,Num_of_Dependents,Num_of_Transactions,Joining_Date,Region,Last_Activity_Date,Customer_Churn
a38b7140-4974-4324-89ec-0cb37852eacf,56,Male,49753,Unemployed,616,Widowed,43779.11,127001.73,0,10,10-04-2023,South,13-05-2024,No
15240f83-9f1c-4477-8716-af8b2a0094bd,69,Male,67825,Student,651,Widowed,9274.06,118247.42,1,140,27-11-2024,East,14-11-2024,No
cfe2fbad-b621-4fbf-b06d-a254e4e9ce0e,46,Male,87903,Employed,595,Divorced,3628.1,149628.41,1,76,15-05-2021,West,01-08-2024,No
369a4e8d-0bac-4e27-8506-4a78382e49a2,32,Female,42036,Employed,595,Married,36155.78,136670.01,1,302,12-12-2022,East,23-09-2024,No
fcaf06fb-b274-4b84-b17e-64fe96f84ba8,60,Male,42658,Unemployed,683,Divorced,24298.31,45146.99,1,476,19-10-2021,South,09-05-2024,No
e298aae4-0d80-4473-a918-a6d3891f5d58,25,Male,65662,Retired,592,Divorced,42605.8,73733.8,3,294,21-09-2024,East,24-02-2024,No
245144fc-b003-4199-9cbd-85112f7eafca,38,Male,60228,Employed,683,Single,19786.46,29591.48,0,98,29-08-2021,South,06-01-2025,Yes
e9896f8c-9aa9-4f42-bf7c-a5a4a4c0b8e8,56,Female,77700,Retired,673,Single,9245.65,30322.12,1,426,30-06-2024,South,04-08-2024,No
2d944a65-5af4-43d7-b086-a71c13fb1b28,36,Female,58758,Unemployed,563,Divorced,41985.67,136858.17,3,109,14-09-2023,East,12-06-2024,No
e8879cae-73e8-4b7f-9504-3002d9dcc9dc,40,Male,44610,Retired,616,Divorced,27896.57,172427.02,1,198,17-02-2022,West,13-10-2024,Yes
61e22866-969c-48df-b70d-9d97ed321ec3,28,Male,58859,Retired,709,Single,10270.59,192732.85,2,486,21-02-2023,North,13-01-2024,No
7a56b28b-bd3e-43d6-921c-d9d0b3663b83,28,Male,66630,Retired,600,Widowed,36298.82,127527.69,1,387,25-06-2020,West,27-07-2024,No
c899f2d4-c921-4f16-8dc7-5b24e01e8c32,41,Male,62307,Retired,626,Divorced,26044.57,40899.76,1,355,03-01-2021,West,29-02-2024,Yes
78902ab3-ceae-48d2-bd72-5fc85774732d,53,Female,57609,Unemployed,673,Married,30611.34,25601.82,4,397,27-01-2020,East,17-04-2024,Yes
19916382-24e9-45b9-b534-3f992439400e,57,Female,66000,Employed,689,Married,23584.02,163505.94,2,250,02-02-2021,West,19-05-2024,Yes
8de479f4-e122-4258-84c0-66e2a9ffe6d7,41,Female,67539,Student,637,Married,41606.74,117857.51,0,279,25-01-2020,West,28-03-2024,Yes
b139cfb1-7d5f-488c-8847-f63967445a50,20,Female,70732,Retired,620,Divorced,41648.57,125565.58,1,228,21-02-2021,North,26-10-2024,No
80579466-e265-4ad6-833d-86a5ffcb73d8,39,Male,59730,Employed,721,Widowed,35760.05,157385.11,0,426,22-01-2021,West,26-03-2024,Yes
4acaf826-84b3-47bf-a996-0dcfd706cb39,19,Male,47493,Employed,736,Widowed,6164.67,142139.06,2,415,07-06-2021,North,20-03-2024,No
89f8cbcb-c3da-4166-877b-319213ff6de3,41,Male,52200,Unemployed,698,Single,42103.84,167719.36,1,185,05-12-2021,East,06-09-2024,No
c8bc47a9-e885-4942-9b2e-0f95f1be6c97,61,Female,68097,Employed,654,Divorced,33879.64,15961.71,4,396,29-11-2020,North,30-01-2024,Yes
e53db6d4-8a58-4da2-87fb-e8bb2394aa05,47,Male,37745,Unemployed,609,Widowed,35154.18,150766.52,3,480,24-07-2020,South,24-01-2024,No
de14aa12-97fa-4a0e-a128-6aa759faf9ab,55,Female,55530,Retired,608,Divorced,18786.16,170916.29,4,350,27-02-2022,South,31-07-2024,No
2d4d8d15-5ab4-4df2-be3e-1c2891cea459,19,Female,44099,Retired,676,Single,44084.7,60796.33,4,242,05-02-2021,North,19-11-2024,No
4e4ce0af-ccee-4b25-af11-872b0b9f1af8,38,Male,50431,Student,670,Single,36543.21,129887.22,3,160,28-11-2022,South,07-09-2024,Yes
